analog value 18432, Voltage: 2.30 V
analog value 18642, Voltage: 2.34 V
analog value 18004, Voltage: 2.25 V
analog value 17849, Voltage: 2.27 V
analog value 29319, Voltage: 3.69 V
analog value 32767, Voltage: 4.10 V
analog value -1309, Voltage: 0.30 V
analog value 32767, Voltage: 4.10 V
analog value 5931, Voltage: -0.22 V
analog value 2208, Voltage: 0.04 V
analog value 32767, Voltage: 4.10 V
analog value 1134, Voltage: 0.14 V
analog value 1392, Voltage: 0.17 V
analog value 32767, Voltage: 4.10 V
analog value 32767, Voltage: 4.10 V
analog value 32767, Voltage: 4.10 V
analog value 32767, Voltage: 4.10 V
analog value 32767, Voltage: 4.10 V
analog value 32767, Voltage: 4.10 V
analog value 32767, Voltage: 4.10 V
analog value 32767, Voltage: 4.10 V
analog value 32767, Voltage: 4.10 V
analog value 31, Voltage: 0.00 V
